'^[A-Z][A-Z][0-9][0-9][0-9][0-9][0-9][0-9]$'	EMBL
'^[A-Z][A-Z][0-9][0-9][0-9][0-9][0-9][0-9]\.[0-9]*$'	EMBL
'^HAE[LK][0-9]{8}$'	EMBL
'^gi\|.*\|(gb|emb|dbj)\|.*\|'	EMBL
'^HAE[LK][0-9]{8}$'	EMBL
'^HAE[LK][0-9]{8}.[0-9]$'	EMBL
'^ERR[0-9]*.[0-9]*$'	EMBL
'^[A-Z][0-9]{5}$'	EMBL
'^[A-Z][0-9]{5}\.[0-9]*$'	EMBL
'^CCDS[1-9][0-9]*$'	CCDS
'^CCDS[1-9][0-9]*\.[1-9][0-9]*$'	CCDS
'^NM_[0-9]{6}$'	RefSeq_dna
'^NM_[0-9]{7}$'	RefSeq_dna
'^NM_[0-9]{6}\.[0-9]+$'	RefSeq_dna
'^NM_[0-9]{9}$'	RefSeq_dna
'^NM_[0-9]{9}\.[0-9]+$'	RefSeq_dna
'^XM_[0-9]{6,9}\.[0-9]+$'	RefSeq_dna_predicted
'^XM_[0-9]{6,9}$'	RefSeq_dna_predicted
'^YM_[0-9]{6}$'	RefSeq_dna
'^YM_[0-9]{6}\.[0-9]+$'	RefSeq_dna
'^NR_[0-9]{6}$'	RefSeq_rna
'^NR_[0-9]{6}\.[0-9]+$'	RefSeq_rna
'^XR_[0-9]{6}$'	RefSeq_rna_predicted
'^XR_[0-9]{6}\.[0-9]+$'	RefSeq_rna_predicted
'^gi\|.*\|ref\|'	RefSeq_dna
'^[A-Z][a-z]*\.[0-9]*$'	UniGene
'^454cdna[0-9]*$'	OrnAna_454_cdna
'^CDMT[0-9]{11}$'	TetNig_cdna
'^EG3ST[0-9]{11}$'	TetNig_mouse_econtig
'^EG3FT[0-9]{11}$'	TetNig_fugu_econtig
'^EG3HT[0-9]{11}$'	TetNig_human_econtig
'^EP3HT[0-9]{11}$'	TetNig_human_IPI_econtig
'^EP3ST[0-9]{11}$'	TetNig_mouse_IPI_econtig
'^GAPM[0-9]{8}\.[0-9]+'	EMBL	Rat TSA
'^[0-9]{13}$'	Trace_archive	Sheep BAC end
'^CHORI(1073|73)_.*$'	Trace_archive	Zebrafish BAC ends
'^z[A-Za-z]{1,2}[0-9]+[A-Z][0-9]+\.[a-z][a-z]$'	Trace_archive	Zebrafish BAC ends
'^z[A-Z]*[0-9]*.*PIB[FR]$'	Trace_archive	Zebrafish BAC ends
'^z(FD|K)[A-Z0-9]*$'	Trace_archive	Zebrafish BAC ends
'^bZ[0-9]+[A-Z][0-9]+\.[a-z][a-z]$'	Trace_archive	Zebrafish BAC ends
'^zC[0-9]+[A-Z][0-9]+\.[A-Z][a-z]$'	Trace_archive	Zebrafish BAC ends
'^zH[0-9]+[A-Z][0-9]+(SP6|T7)'	Trace_archive	Zebrafish BAC ends
'^zFD[0-9]+[a-z][0-9]+\.(p|q)1ka?(pIBF|pIBR|SP6|T7)'	Trace_archive	Zebrafish FOS ends
'^ZfishFos[0-9]+[a-z]+[0-9]+\.(p|q)1kw?'	Trace_archive	Zebrafish FOS ends
'^ZDB-GENE[P]{0,1}-[0-9]+-[0-9]+$'	ZFIN_xpat
'^CEC[0-9]{1,2}-[A-Z0-9]{3}$'	GasAcu_cdna
'^CNB[0-9]{1,3}-[A-Z0-9]{3}$'	GasAcu_cdna
'^CFW[0-9]{1,3}-[A-Z0-9]{3}$'	GasAcu_cdna
 'CGX[0-9]{1,3}-[A-Z0-9]{3}$'	GasAcu_cdna
